theta,a,b,status,z
20,7.4,6.6,NotYet,0.0
20,3.9,12.6,NotYet,0.0
21,7.4,6.6,NotYet,0.0
21,3.9,12.6,NotYet,0.0
22,7.5,6.5,NotYet,0.0
22,3.9,12.5,NotYet,0.0
23,7.6,6.5,NotYet,0.0
23,3.9,12.5,NotYet,0.0
24,7.7,6.4,NotYet,0.0
24,4.0,12.3,NotYet,0.0
25,7.8,6.3,NotYet,0.0
25,4.0,12.3,NotYet,0.0
26,7.8,6.3,NotYet,0.0
26,4.0,12.2,NotYet,0.0
27,7.9,6.2,NotYet,0.0
27,4.0,12.1,NotYet,0.0
28,8.0,6.1,NotYet,0.0
28,4.1,12.0,NotYet,0.0
29,8.1,6.1,NotYet,0.0
29,4.1,11.9,NotYet,0.0
30,8.2,6.0,NotYet,0.0
30,4.1,11.9,NotYet,0.0
31,8.4,5.9,NotYet,0.0
31,4.2,11.7,NotYet,0.0
32,8.4,5.9,NotYet,0.0
32,4.2,11.6,NotYet,0.0
33,8.6,5.8,NotYet,0.0
33,4.3,11.5,NotYet,0.0
34,8.7,5.7,NotYet,0.0
34,4.3,11.4,NotYet,0.0
35,8.9,5.6,NotYet,0.0
35,4.4,11.2,NotYet,0.0
55,5.5,8.9,NotYet,0.0
55,12.1,4.3,NotYet,0.0
56,5.6,8.8,NotYet,0.0
56,12.2,4.3,NotYet,0.0
57,5.7,8.6,NotYet,0.0
57,12.4,4.2,NotYet,0.0
58,5.8,8.5,NotYet,0.0
58,12.5,4.2,NotYet,0.0
59,5.9,8.4,NotYet,0.0
59,12.5,4.2,NotYet,0.0
60,5.9,8.3,NotYet,0.0
60,12.7,4.1,NotYet,0.0
61,6.0,8.2,NotYet,0.0
61,12.8,4.1,NotYet,0.0
62,6.1,8.1,NotYet,0.0
62,12.9,4.1,NotYet,0.0
63,6.2,7.9,NotYet,0.0
63,13.0,4.0,NotYet,0.0
64,6.3,7.8,NotYet,0.0
64,13.1,4.0,NotYet,0.0
65,6.3,7.8,NotYet,0.0
65,13.2,4.0,NotYet,0.0
66,6.4,7.7,NotYet,0.0
66,13.3,3.9,NotYet,0.0
67,6.5,7.6,NotYet,0.0
67,13.4,3.9,NotYet,0.0
68,6.5,7.5,NotYet,0.0
68,13.4,3.9,NotYet,0.0
69,6.6,7.4,NotYet,0.0
69,13.5,3.9,NotYet,0.0
70,6.6,7.4,NotYet,0.0
70,13.6,3.9,NotYet,0.0
