theta,a,b,z,E3,E4,machine_type,status,file_name
5,8.0,4.5,1.3,-1.9540567273361376,-2.020467993163038,3,Done,C5_theta=5_a=8.0_b=4.5_z=1.3_3.log
10,7.9,4.5,1.3,-1.9636651604669169,-2.0980784299899824,3,Done,C5_theta=10_a=7.9_b=4.5_z=1.3_3.log
15,7.9,4.5,1.3,-1.9935710320569344,-2.1883187605562853,3,Done,C5_theta=15_a=7.9_b=4.5_z=1.3_3.log
20,7.8,4.6,1.3,-2.0172444742784137,-2.266510271612788,3,Done,C5_theta=20_a=7.8_b=4.6_z=1.3_3.log
25,7.7,4.6,1.3,-2.107654860097682,-2.4109241679834668,3,Done,C5_theta=25_a=7.7_b=4.6_z=1.3_3.log
30,7.5,4.7,1.3,-2.201742454461055,-2.551457542533172,3,Done,C5_theta=30_a=7.5_b=4.7_z=1.3_3.log
35,7.4,4.7,1.3,-2.331965839708573,-2.707630976321525,3,Done,C5_theta=35_a=7.4_b=4.7_z=1.3_3.log
40,7.2,4.8,1.3,-2.443685210077092,-2.814791486525792,3,Done,C5_theta=40_a=7.2_b=4.8_z=1.3_3.log
45,7.1,4.8,1.3,-2.506465703045251,-2.8194890263839625,3,Done,C5_theta=45_a=7.1_b=4.8_z=1.3_3.log
50,7.3,4.7,1.3,-2.392782226394047,-2.6562774404446827,3,Done,C5_theta=50_a=7.3_b=4.7_z=1.3_3.log
55,7.6,4.5,1.3,-2.183568509834004,-2.412747084556031,3,Done,C5_theta=55_a=7.6_b=4.5_z=1.3_3.log
60,8.0,4.3,1.3,-1.9586250001593728,-2.2237617803621106,3,Done,C5_theta=60_a=8.0_b=4.3_z=1.3_3.log
65,8.3,4.2,1.3,-1.7987994581635576,-2.101108048242168,3,Done,C5_theta=65_a=8.3_b=4.2_z=1.3_3.log
70,8.5,4.1,1.3,-1.7046371900942177,-2.0236118182656355,3,Done,C5_theta=70_a=8.5_b=4.1_z=1.3_3.log
75,8.6,4.0,1.3,-1.6620480863784906,-1.9806286382954568,3,Done,C5_theta=75_a=8.6_b=4.0_z=1.3_3.log
80,8.7,4.0,1.3,-1.6161432198859984,-1.9497589113598224,3,Done,C5_theta=80_a=8.7_b=4.0_z=1.3_3.log
85,8.7,4.1,1.3,-1.5862266806070693,-1.9177753541735,3,Done,C5_theta=85_a=8.7_b=4.1_z=1.3_3.log
90,8.8,4.1,1.3,-1.5536978172312956,-1.904976660211105,3,Done,C5_theta=90_a=8.8_b=4.1_z=1.3_3.log
0,8.0,4.5,1.3,-1.9763057218951872,-1.9763088594336296,3,Done,C5_theta=0_a=8.0_b=4.5_z=1.3_3.log
