a,b,theta,z,status
8.0,4.5,0,1.3,InProgress
8.0,4.5,5,1.3,InProgress
7.9,4.5,10,1.3,InProgress
7.9,4.5,15,1.3,InProgress
7.8,4.6,20,1.3,InProgress
7.7,4.6,25,1.3,InProgress
7.5,4.7,30,1.3,InProgress
7.4,4.7,35,1.3,InProgress
7.2,4.8,40,1.3,InProgress
7.1,4.8,45,1.3,InProgress
7.3,4.7,50,1.3,InProgress
7.6,4.5,55,1.3,InProgress
8.0,4.3,60,1.3,InProgress
8.3,4.2,65,1.3,InProgress
8.5,4.1,70,1.3,InProgress
8.6,4.0,75,1.3,InProgress
8.7,4.0,80,1.3,InProgress
8.7,4.1,85,1.3,InProgress
8.8,4.1,90,1.3,InProgress
