theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,1.3,0.6,4.1,0.0,-6.363190481308266,-3.5544425435946323,-0.873903056504787,-0.5594069672224578,-1.3754379139863886,Done
5,3.8,1.3,-0.6,4.2,0.0,-6.849698356774752,-3.557567543408368,-1.5734957577078603,-1.1589783394883852,-0.5596567161701387,Done
10,3.8,1.3,-0.7,4.1,0.0,-6.398447758168913,-3.497198571320041,-1.0668617540359264,-1.2672583275125362,-0.5671291053004097,Done
15,4.0,1.3,-1.0,4.1,0.0,-6.528615294970223,-3.3401522711646976,-1.4610101976431906,-1.339548107018345,-0.3879047191439895,Done
20,4.3,1.3,-1.3,4.0,0.0,-5.851553967862856,-2.747516139424988,-1.377787938909023,-1.4626191333081806,-0.2636307562206639,Done
25,4.6,1.3,-1.7,3.8,0.0,-5.186282926122658,-2.117143438808853,-1.0933031428721731,-1.7989029973105062,-0.1769333471311256,Done
30,4.8,1.3,-2.1,3.6,0.0,-5.318332365466631,-1.741003904651734,-1.128729219912202,-2.3209266838093754,-0.1276725570933194,Done
35,5.0,1.3,-2.4,3.4,0.0,-5.4778203070454765,-1.4484217195567908,-1.0848267377878074,-2.846276173251681,-0.0982956764491973,Done
40,5.1,1.3,-2.6,3.3,0.0,-5.935364830947947,-1.3145048104197483,-1.3495581465540454,-3.187802255808492,-0.0834996181656606,Done
45,5.2,1.3,-2.6,3.3,0.0,-5.626454835713957,-1.218082878884161,-1.31496163776319,-3.0148460670752684,-0.0785642519913381,Done
50,5.2,1.3,-2.6,3.3,0.0,-5.460108209736063,-1.2216716085531516,-1.1790768572536765,-2.980976842343807,-0.078382901585428,Done
55,5.2,1.3,-2.6,3.6,0.0,-5.499912424114882,-1.2479573749587871,-1.813185752427671,-2.3677376747655217,-0.0710316219629021,Done
60,5.1,1.3,1.9,3.7,0.0,-6.3004934471828165,-1.348916831339011,-2.994823478031321,-0.1000934925541514,-1.8566596452583328,Done
65,5.0,1.3,1.7,3.8,0.0,-6.212964587364695,-1.4549289982533082,-2.97953858942492,-0.1186357856058748,-1.6598612140805926,Done
70,4.9,1.3,1.5,3.9,0.0,-6.117695391585585,-1.5510597652028082,-2.9663075410644524,-0.1405867128632962,-1.459741372455028,Done
75,4.7,1.3,-0.5,3.9,0.0,-5.655044191284105,-1.5407529134245124,-3.034234871069202,-0.6972840919479495,-0.3827723148424411,Done
80,4.5,1.3,-0.8,3.9,0.0,-5.72719717369182,-1.1459631545876618,-3.198532049340429,-1.026352845976362,-0.3563491237873677,Done
85,4.6,1.3,-1.2,3.8,0.0,-6.244532732889638,-1.505077087393147,-3.147504818654852,-1.334027274075197,-0.2579235527664423,Done
90,4.6,1.3,-1.2,3.9,0.0,-6.33698064366763,-1.5131330607837299,-3.3358004893379984,-1.247075723411399,-0.24097137013450265,Done
