a,b,theta,status
7.1,7.3,10.0,NotYet
3.6,13.5,10.0,NotYet
7.6,6.9,20.0,NotYet
3.7,13.0,20.0,NotYet
6.3,9.4,25.0,NotYet
7.9,6.6,25.0,NotYet
3.9,12.7,25.0,NotYet
6.2,9.6,27.5,NotYet
8.0,6.5,27.5,NotYet
3.8,12.6,27.5,NotYet
8.2,6.2,30.0,NotYet
4.0,12.3,30.0,NotYet
8.4,6.1,32.5,NotYet
4.1,12.0,32.5,NotYet
8.9,5.8,35.0,NotYet
4.3,11.7,35.0,NotYet
8.7,6.3,40.0,NotYet
10.0,5.3,40.0,NotYet
4.6,10.9,40.0,NotYet
8.5,6.6,45.0,NotYet
11.0,4.9,45.0,NotYet
4.8,10.3,45.0,NotYet
8.0,7.2,50.0,NotYet
11.6,4.7,50.0,NotYet
5.3,9.6,50.0,NotYet
7.8,7.3,55.0,NotYet
12.4,4.3,55.0,NotYet
5.8,9.0,55.0,NotYet
12.7,4.1,57.5,NotYet
5.9,8.8,57.5,NotYet
12.8,4.2,60.0,NotYet
6.2,8.5,60.0,NotYet
13.1,4.0,62.5,NotYet
6.4,8.2,62.5,NotYet
13.4,3.8,65.0,NotYet
6.6,7.9,65.0,NotYet
13.7,3.7,70.0,NotYet
6.9,7.4,70.0,NotYet
14.0,3.8,80.0,NotYet
7.4,7.2,80.0,NotYet
