a,b,theta,E_p2,machine_type,status,file_name
0,5.5,25,-5.225853078998625,3,Done,pentacene_theta=25_a=0_b=5.5_cx=0_cy=0_cz=0.log
0,6.0,25,-9.49402926187031,3,Done,pentacene_theta=25_a=0_b=6.0_cx=0_cy=0_cz=0.log
0,6.5,25,-6.938105730572715,3,Done,pentacene_theta=25_a=0_b=6.5_cx=0_cy=0_cz=0.log
0,7.0,25,-4.440302175702527,3,Done,pentacene_theta=25_a=0_b=7.0_cx=0_cy=0_cz=0.log
0,7.5,25,-2.759229240939021,3,Done,pentacene_theta=25_a=0_b=7.5_cx=0_cy=0_cz=0.log
0,8.0,25,-1.7562247870955616,3,Done,pentacene_theta=25_a=0_b=8.0_cx=0_cy=0_cz=0.log
0,8.5,25,-1.1604693031404167,3,Done,pentacene_theta=25_a=0_b=8.5_cx=0_cy=0_cz=0.log
0,9.0,25,-0.7932855919934809,3,Done,pentacene_theta=25_a=0_b=9.0_cx=0_cy=0_cz=0.log
0,9.5,25,-0.5574899241328239,3,Done,pentacene_theta=25_a=0_b=9.5_cx=0_cy=0_cz=0.log
0,10.0,25,-0.4007504764012992,3,Done,pentacene_theta=25_a=0_b=10.0_cx=0_cy=0_cz=0.log
0,10.5,25,-0.2937311560381204,3,Done,pentacene_theta=25_a=0_b=10.5_cx=0_cy=0_cz=0.log
0,11.0,25,-0.2191591225564479,3,Done,pentacene_theta=25_a=0_b=11.0_cx=0_cy=0_cz=0.log
0,11.5,25,-0.1661771980579942,3,Done,pentacene_theta=25_a=0_b=11.5_cx=0_cy=0_cz=0.log
0,12.0,25,-0.1278589274734258,3,Done,pentacene_theta=25_a=0_b=12.0_cx=0_cy=0_cz=0.log
0,12.5,25,-0.0997012988664209,3,Done,pentacene_theta=25_a=0_b=12.5_cx=0_cy=0_cz=0.log
