cx,cy,cz,a,b,theta,Rt,Rp
-3.6,-2.0,11.6,7.3,5.9,25,2.1,1.9
-3.5,-1.7,11.8,7.3,5.9,25,2.1,1.9
-3.4,-1.7,12.0,7.3,5.9,25,2.1,1.9
-3.3,-1.6,12.2,7.3,5.9,25,2.1,1.9
-3.2,-1.5,12.4,7.3,5.9,25,2.1,1.9
-3.1,1.8,13.5,7.3,5.9,25,2.1,1.9
-3.0,1.8,13.5,7.3,5.9,25,2.1,1.9
-2.9,1.7,13.5,7.3,5.9,25,2.1,1.9
-2.8,1.7,13.5,7.3,5.9,25,2.1,1.9
-2.7,1.6,13.5,7.3,5.9,25,2.1,1.9
-2.6,1.6,13.4,7.3,5.9,25,2.1,1.9
-2.5,1.5,13.4,7.3,5.9,25,2.1,1.9
-2.4,1.3,13.4,7.3,5.9,25,2.1,1.9
-2.3,1.2,13.4,7.3,5.9,25,2.1,1.9
-2.2,1.0,13.3,7.3,5.9,25,2.1,1.9
-2.1,0.8,13.3,7.3,5.9,25,2.1,1.9
-2.0,0.7,13.2,7.3,5.9,25,2.1,1.9
-1.9,0.5,13.1,7.3,5.9,25,2.1,1.9
-1.8,0.5,13.2,7.3,5.9,25,2.1,1.9
-1.7,0.6,13.3,7.3,5.9,25,2.1,1.9
-1.6,0.6,13.3,7.3,5.9,25,2.1,1.9
-1.5,0.7,13.4,7.3,5.9,25,2.1,1.9
-1.4,0.7,13.5,7.3,5.9,25,2.1,1.9
-1.3,0.8,13.5,7.3,5.9,25,2.1,1.9
-1.2,0.8,13.6,7.3,5.9,25,2.1,1.9
-1.1,0.9,13.6,7.3,5.9,25,2.1,1.9
-1.0,0.9,13.6,7.3,5.9,25,2.1,1.9
-0.9,1.0,13.7,7.3,5.9,25,2.1,1.9
-0.8,1.0,13.7,7.3,5.9,25,2.1,1.9
-0.7,1.1,13.7,7.3,5.9,25,2.1,1.9
-0.6,1.1,13.7,7.3,5.9,25,2.1,1.9
-0.5,1.2,13.7,7.3,5.9,25,2.1,1.9
-0.4,1.2,13.7,7.3,5.9,25,2.1,1.9
-0.3,1.3,13.7,7.3,5.9,25,2.1,1.9
-0.2,1.3,13.7,7.3,5.9,25,2.1,1.9
-0.1,1.4,13.7,7.3,5.9,25,2.1,1.9
0.0,1.4,13.6,7.3,5.9,25,2.1,1.9
0.1,1.4,13.7,7.3,5.9,25,2.1,1.9
0.2,1.3,13.7,7.3,5.9,25,2.1,1.9
0.3,1.3,13.7,7.3,5.9,25,2.1,1.9
0.4,1.2,13.8,7.3,5.9,25,2.1,1.9
0.5,1.0,13.8,7.3,5.9,25,2.1,1.9
0.6,0.9,13.8,7.3,5.9,25,2.1,1.9
0.7,0.8,13.9,7.3,5.9,25,2.1,1.9
0.8,0.5,13.9,7.3,5.9,25,2.1,1.9
0.9,0.2,13.9,7.3,5.9,25,2.1,1.9
1.0,-0.1,13.8,7.3,5.9,25,2.1,1.9
1.1,-0.3,13.8,7.3,5.9,25,2.1,1.9
1.2,-0.8,13.6,7.3,5.9,25,2.1,1.9
1.3,-0.7,13.5,7.3,5.9,25,2.1,1.9
1.4,-0.8,13.5,7.3,5.9,25,2.1,1.9
1.5,-0.9,13.6,7.3,5.9,25,2.1,1.9
1.6,-1.0,13.6,7.3,5.9,25,2.1,1.9
1.7,-1.0,13.6,7.3,5.9,25,2.1,1.9
1.8,-1.1,13.6,7.3,5.9,25,2.1,1.9
1.9,-1.2,13.6,7.3,5.9,25,2.1,1.9
2.0,-1.2,13.7,7.3,5.9,25,2.1,1.9
2.1,-1.3,13.6,7.3,5.9,25,2.1,1.9
2.2,-1.4,13.6,7.3,5.9,25,2.1,1.9
2.3,-1.4,13.7,7.3,5.9,25,2.1,1.9
2.4,-1.4,13.8,7.3,5.9,25,2.1,1.9
2.5,-1.5,13.8,7.3,5.9,25,2.1,1.9
2.6,-1.5,13.9,7.3,5.9,25,2.1,1.9
2.7,-1.6,13.9,7.3,5.9,25,2.1,1.9
2.8,-1.6,13.9,7.3,5.9,25,2.1,1.9
2.9,-1.7,13.9,7.3,5.9,25,2.1,1.9
3.0,-1.7,13.9,7.3,5.9,25,2.1,1.9
3.1,-1.8,13.9,7.3,5.9,25,2.1,1.9
3.2,-1.8,13.9,7.3,5.9,25,2.1,1.9
3.3,-1.9,13.9,7.3,5.9,25,2.1,1.9
3.4,-1.9,13.9,7.3,5.9,25,2.1,1.9
3.5,-2.0,13.9,7.3,5.9,25,2.1,1.9
3.6,-2.0,13.9,7.3,5.9,25,2.1,1.9
